Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Rainfall_Bin,Yield_log,Pesticide_log,Fertilizer_log
potato,1997,Whole Year ,Assam,75259.0,671871,2051.4,7162399.03,23330.29,7.561304348,Very High,2.147252555648243,10.057550657100213,15.784355682490624
rapeseed &mustard,1997,Rabi       ,Assam,279292.0,154772,2051.4,26580219.64,86580.52,0.554782609,Very High,0.44133573457191316,11.368841676859423,17.0956779121931
rice,1997,Autumn     ,Assam,607358.0,398311,2051.4,57802260.86,188280.98,0.780869565,Very High,0.5771017646800323,12.145696011712174,17.8725384654029
rice,1997,Summer     ,Assam,174974.0,209623,2051.4,16652275.58,54241.94,1.060434783,Very High,0.7229170202402607,10.901228124685142,16.628057496575355
rice,1997,Winter     ,Assam,1743321.0,1647296,2051.4,165911859.6,540429.51,0.941304348,Very High,0.663360091482944,13.200121341653604,18.92696724507055
sesamum,1997,Whole Year ,Assam,15765.0,8257,2051.4,1500355.05,4887.15,0.487391304,Very High,0.3970237828265139,8.494569187778291,14.221213004572094
small millets,1997,Kharif     ,Assam,10490.0,5391,2051.4,998333.3,3251.9,0.473,Very High,0.38730113748049316,8.087302185146246,13.813843469143576
sugarcane,1997,Kharif     ,Assam,31318.0,1287451,2051.4,2980534.06,9708.58,41.89695652,Very High,3.7588008798276125,9.180868305972941,14.907613392699925
sweet potato,1997,Whole Year ,Assam,9380.0,32618,2051.4,892694.6,2907.8,3.440434783,Very High,1.490752295748981,7.97549590398316,13.702000928287825
tapioca,1997,Whole Year ,Assam,2465.0,11728,2051.4,234594.05,764.15,4.41826087,Very High,1.6897748912671702,6.640071893037045,12.365616115234664
tobacco,1997,Whole Year ,Assam,433.0,26,2051.4,41208.61,134.23,0.38,Very High,0.3220834991691133,4.906977032485268,10.626426760565684
turmeric,1997,Whole Year ,Assam,10071.0,6974,2051.4,958457.07,3122.01,0.67,Very High,0.5128236264286639,8.046552559327264,13.7730810950754
wheat,1997,Rabi       ,Assam,84698.0,110054,2051.4,8060708.66,26256.38,1.25952381,Very High,0.815154087543262,10.175702371363665,15.902512157753291
arecanut,1997,Whole Year ,Karnataka,93100.0,133342,1266.7,8860327.0,28861.0,1.293571429,High,0.8301101786730216,10.270281129996023,15.997094342212057
arhar/tur,1997,Kharif     ,Karnataka,421810.0,98473,1266.7,40143657.7,130761.1,0.268235294,High,0.23762640189181597,11.78113492066636,17.507975045659016
bajra,1997,Kharif     ,Karnataka,301149.0,132056,1266.7,28660350.33,93356.19,0.404545455,High,0.3397137308690085,11.444188167964194,17.171025238837665
bajra,1997,Summer     ,Karnataka,820.0,662,1266.7,78039.4,254.2,0.81,High,0.5933268452777344,5.542047551470635,11.264981920300539
black pepper,1997,Kharif     ,Karnataka,3825.0,924,1266.7,364025.25,1185.75,0.4375,High,0.3629054936893685,7.078973757431427,12.804981259403304
cardamom,1997,Whole Year ,Karnataka,21230.0,1214,1266.7,2020459.1,6581.3,0.058571429,High,0.056920290657540513,8.792139507316014,14.518835815718449
coriander,1997,Whole Year ,Karnataka,17317.0,2853,1266.7,1648058.89,5368.27,0.121333333,High,0.11451845314532677,8.588447237852492,14.315109329810653
dry chillies,1997,Kharif     ,Karnataka,186579.0,139206,1266.7,17756723.43,57839.49,1.078333333,High,0.7315662903035052,10.965444328442683,16.69227484327028
dry chillies,1997,Rabi       ,Karnataka,4565.0,7895,1266.7,434451.05,1415.15,1.869444444,High,1.0541184375145942,7.255697200846635,12.981840860865956
garlic,1997,Whole Year ,Karnataka,5061.0,3799,1266.7,481655.37,1568.91,1.585,High,0.9497255079603925,7.358773571858458,13.084986213469435
ginger,1997,Kharif     ,Karnataka,3619.0,4745,1266.7,344420.23,1121.89,1.262307692,High,0.8163853949683587,7.023660998026327,12.749620693073696
groundnut,1997,Kharif     ,Karnataka,847666.0,525562,1266.7,80672373.22,262776.46,0.709411765,High,0.5361493142579786,12.479062793268895,18.20590674774324
groundnut,1997,Rabi       ,Karnataka,192416.0,181071,1266.7,18312230.72,59648.96,1.133333333,High,0.7576857015412665,10.996248756947464,16.723079794531856
horse-gram,1997,Kharif     ,Karnataka,178872.0,80124,1266.7,17023248.24,55450.32,0.45,High,0.37156355643248307,10.92326079772511,16.650090570057085
horse-gram,1997,Rabi       ,Karnataka,163173.0,82572,1266.7,15529174.41,50583.63,0.514705882,High,0.41522128282051934,10.83140305419197,16.558231097127944
jowar,1997,Kharif     ,Karnataka,389690.0,516093,1266.7,37086797.3,120803.9,1.228,High,0.8011043220650376,11.701932126574107,17.42877162328089
jowar,1997,Rabi       ,Karnataka,1501172.0,722773,1266.7,142866539.2,465363.32,0.510714286,High,0.4125825760661537,13.050575861677192,18.777421467127596
jowar,1997,Summer     ,Karnataka,6137.0,15135,1266.7,584058.29,1902.47,2.470909091,High,1.2444165455254226,7.551433815257063,13.277757780629758
maize,1997,Kharif     ,Karnataka,502797.0,1391132,1266.7,47851190.49,155867.07,2.687777778,High,1.305024048455923,11.956765223293138,17.68360657607569
maize,1997,Rabi       ,Karnataka,48844.0,98932,1266.7,4648483.48,15141.64,1.98,High,1.091923300517313,9.625269884313436,15.352051806161064
maize,1997,Summer     ,Karnataka,9730.0,20893,1266.7,926004.1,3016.3,2.165714286,High,1.1523787129140224,8.012117670741928,13.738635021172545
ragi,1997,Kharif     ,Karnataka,897921.0,1214282,1266.7,85455141.57,278355.51,1.191333333,High,0.7845101864218036,12.536657981159252,18.26350214792682
ragi,1997,Rabi       ,Karnataka,27104.0,33696,1266.7,2579487.68,8402.24,1.312222222,High,0.838209062973216,9.036372624748488,14.763101751209838
ragi,1997,Summer     ,Karnataka,13521.0,25035,1266.7,1286793.57,4191.51,1.847777778,High,1.046538963117794,8.341054878906206,14.067664854568132
rice,1997,Kharif     ,Karnataka,1031530.0,2340493,1266.7,98170710.1,319774.3,2.2335,High,1.1735651419045103,12.675373840626797,18.402218471199564
rice,1997,Rabi       ,Karnataka,53889.0,109350,1266.7,5128616.13,16705.59,2.073846154,High,1.1229295963688661,9.723558531344933,15.450346615505552
rice,1997,Summer     ,Karnataka,268044.0,762759,1266.7,25509747.48,83093.64,2.829444444,High,1.342719738885336,11.327735478161602,17.05457123040651
sugarcane,1997,Whole Year ,Karnataka,308857.0,28999269,1266.7,29393920.69,95745.67,91.74736842,High,4.5298793282548395,11.469461128370236,17.19629846569607
turmeric,1997,Whole Year ,Karnataka,4342.0,24108,1266.7,413228.14,1346.02,4.452941176,High,1.6961551284292935,7.205650024110084,12.931757536490283
wheat,1997,Rabi       ,Karnataka,250698.0,118512,1266.7,23858928.66,77716.38,0.548333333,High,0.4371790833824069,11.260834192166595,16.9876691144493
arecanut,1997,Whole Year ,Kerala,76145.0,93995,3252.4,7246719.65,23604.95,1.147857143,Very High,0.7644706674516906,10.069254077881205,15.796059600363504
black pepper,1997,Whole Year ,Kerala,173855.0,55520,3252.4,16545780.35,53895.05,0.240714286,Very High,0.21568725086803706,10.894812470352697,16.621641723970708
cashewnut,1997,Whole Year ,Kerala,96073.0,74142,3252.4,9143267.41,29782.63,0.589285714,Very High,0.4632846788172153,10.301714192698059,16.02852847360071
coconut,1997,Whole Year ,Kerala,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286,Very High,8.589895972723006,12.521422072369099,18.24826618416179
tapioca,1997,Whole Year ,Kerala,132875.0,2841819,3252.4,12645713.75,41191.25,22.80357143,Very High,3.1698356295035746,10.626005410847199,16.352828960806676
arecanut,1997,Whole Year ,Meghalaya,9569.0,12116,3818.2,910681.73,2966.39,1.245714286,Very High,0.8090236380729736,7.995438057557521,13.721949849941382
arhar/tur,1997,Kharif     ,Meghalaya,865.0,683,3818.2,82322.05,268.15,0.806666667,Very High,0.591483526967947,5.5952688450069665,11.318406420356077
banana,1997,Whole Year ,Meghalaya,5239.0,63011,3818.2,498595.63,1624.09,11.20714286,Very High,2.5020212607403414,7.393318477845551,13.119552691123763
castor seed,1997,Rabi       ,Meghalaya,30.0,15,3818.2,2855.1,9.3,0.49,Very High,0.3987761199573678,2.33214389523559,7.957212336852101
cotton(lint),1997,Kharif     ,Meghalaya,7544.0,5590,3818.2,717962.48,2338.64,0.796666667,Very High,0.5859330964383248,7.7577523503623675,13.48417398322702
dry chillies,1997,Whole Year ,Meghalaya,1766.0,1106,3818.2,168070.22,547.46,0.64,Very High,0.49469624183610705,6.307114350893783,12.032143097124495
ginger,1997,Kharif     ,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714,Very High,1.9536353348212179,7.732662909973753,13.459073714248863
gram,1997,Rabi       ,Meghalaya,443.0,270,3818.2,42160.31,137.33,0.613333333,Very High,0.4783024318538191,4.929642134886724,10.649258254838777
jute,1997,Kharif     ,Meghalaya,4243.0,34683,3818.2,403806.31,1315.33,8.436666667,Very High,2.244602810491022,7.182602840328679,12.908693087718314
linseed,1997,Kharif     ,Meghalaya,50.0,22,3818.2,4758.5,15.5,0.44,Very High,0.3646431135879093,2.803360380906535,8.46789789969136
maize,1997,Kharif     ,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,Very High,0.8937529387318981,8.580214937832395,14.306875494965757
mesta,1997,Kharif     ,Meghalaya,4688.0,21558,3818.2,446156.96,1453.28,4.68,Very High,1.7369512327330598,7.2822662117683965,13.008428338702256
mesta,1997,Whole Year ,Meghalaya,861.0,713,3818.2,81941.37,266.91,0.7525,Very High,0.561043339926608,5.59065110321487,11.313771474285218
other  rabi pulses,1997,Rabi       ,Meghalaya,1909.0,1511,3818.2,181679.53,591.79,0.777142857,Very High,0.5750069381753342,6.384840204743776,12.11000509399227
potato,1997,Whole Year ,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571,Very High,2.266069289655551,8.76994835911128,14.496641269075978
rapeseed &mustard,1997,Rabi       ,Meghalaya,6914.0,4467,3818.2,658005.38,2143.34,0.608571429,Very High,0.4753464739226609,7.670587091707435,13.39696990630908
rice,1997,Kharif     ,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,Very High,0.8665000675513197,10.392181057847024,16.118998233508112
sesamum,1997,Kharif     ,Meghalaya,1326.0,688,3818.2,126195.42,411.06,0.575714286,Very High,0.4547086843914214,6.021168969814313,11.745594861016516
small millets,1997,Kharif     ,Meghalaya,2804.0,2237,3818.2,266856.68,869.24,0.861428571,Very High,0.6213442418512025,6.768769035674651,12.494470761561551
soyabean,1997,Kharif     ,Meghalaya,898.0,814,3818.2,85462.66,278.38,0.921428571,Very High,0.6530689567694865,5.632572862299405,11.355846535334557
sugarcane,1997,Whole Year ,Meghalaya,82.0,225,3818.2,7803.94,25.42,2.352,Very High,1.2095571826198366,3.2741212990941793,8.9625121455401
sweet potato,1997,Whole Year ,Meghalaya,5212.0,16978,3818.2,496026.04,1615.72,3.221428571,Very High,1.4401735946952712,7.388154684409993,13.114385720350146
tapioca,1997,Whole Year ,Meghalaya,3959.0,21087,3818.2,376778.03,1227.29,6.537142857,Very High,2.0198431787748468,7.113378237178358,12.839414167269425
tobacco,1997,Rabi       ,Meghalaya,742.0,505,3818.2,70616.14,230.02,0.618,Very High,0.4811908186362999,5.442504286860534,11.165028170219927
turmeric,1997,Whole Year ,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286,Very High,1.8603077975203206,6.076058420956916,11.800613812402322
wheat,1997,Rabi       ,Meghalaya,4287.0,6894,3818.2,407993.79,1328.97,1.385,Very High,0.8691991243403046,7.192911664570423,12.919009683696924
arecanut,1997,Whole Year ,West Bengal,8058.0,12423,1852.9,766879.86,2497.98,1.691764706,Very High,0.9901970030590327,7.823637927601646,13.55008673581991
arhar/tur,1997,Whole Year ,West Bengal,3630.0,2181,1852.9,345467.1,1125.3,0.777692308,Very High,0.5753160669978379,7.026693203053651,12.752655587970605
bajra,1997,Kharif     ,West Bengal,207.0,95,1852.9,19700.19,64.17,0.426666667,Very High,0.3553407211592406,4.176999240344289,9.888434318993076
barley,1997,Whole Year ,West Bengal,6116.0,5034,1852.9,582059.72,1895.96,1.68,Very High,0.9858167945227653,7.548007883787558,13.274330051168496
cardamom,1997,Whole Year ,West Bengal,2674.0,7,1852.9,254484.58,828.94,0.0,Very High,0.0,6.72135340902103,12.44699945324959
castor seed,1997,Whole Year ,West Bengal,660.0,46,1852.9,62812.2,204.6,0.07,Very High,0.06765864847381481,5.32593253358101,11.047920521452042
coconut,1997,Whole Year ,West Bengal,24273.0,306202300,1852.9,2310061.41,7524.63,13003.78778,Very High,9.473072859410506,8.926069807042907,14.652785099449032
cotton(lint),1997,Kharif     ,West Bengal,26000.0,52000,1852.9,2474420.0,8060.0,2.0,Very High,1.0986122886681098,8.9947928972836,14.7215169872229
dry chillies,1997,Whole Year ,West Bengal,64034.0,55569,1852.9,6094115.78,19850.54,0.942777778,Very High,0.6641187932935035,9.896036864969998,15.622834401455439
gram,1997,Rabi       ,West Bengal,25485.0,16994,1852.9,2425407.45,7900.35,0.5975,Very High,0.46843990726955287,8.9747889099317,14.701510501160168
groundnut,1997,Whole Year ,West Bengal,29615.0,38672,1852.9,2818459.55,9180.65,1.13,Very High,0.7561219797213337,9.124962206025588,14.851701389598999
horse-gram,1997,Kharif     ,West Bengal,5645.0,2556,1852.9,537234.65,1749.95,0.438888889,Very High,0.36387121088654745,7.467913776766782,13.194192104050316
jowar,1997,Whole Year ,West Bengal,948.0,450,1852.9,90221.16,293.88,0.482,Very High,0.39339252687389514,5.686568493921513,11.410030352152186
jute,1997,Kharif     ,West Bengal,641574.0,7549700,1852.9,61058597.58,198887.94,13.44588235,Very High,2.670409415472551,12.200501857463925,17.927344593484523
khesari,1997,Rabi       ,West Bengal,25261.0,28460,1852.9,2404089.37,7830.91,1.095882353,Very High,0.7399746355895948,8.96596169282665,14.692682165444834
linseed,1997,Whole Year ,West Bengal,16486.0,4210,1852.9,1568972.62,5110.66,0.251538462,Very High,0.2243735641381866,8.539279483673328,14.265932218316975
maize,1997,Whole Year ,West Bengal,35469.0,130390,1852.9,3375584.73,10995.39,2.658461538,Very High,1.297042714234888,9.305322316098888,15.032079416860402
masoor,1997,Rabi       ,West Bengal,51202.0,35040,1852.9,4872894.34,15872.62,0.662352941,Very High,0.5082340330940082,9.672413890848478,15.399198844065754
mesta,1997,Kharif     ,West Bengal,9689.0,89000,1852.9,922102.13,3003.59,9.154166667,Very High,2.3178841303160422,8.007896398392738,13.734412350947238
moong(green gram),1997,Kharif     ,West Bengal,1490.0,711,1852.9,141803.3,461.9,0.548888889,Very High,0.4375378280678945,6.137511048037225,11.862203217020953
moong(green gram),1997,Rabi       ,West Bengal,3269.0,1710,1852.9,311110.73,1013.39,0.542857143,Very High,0.4336359851674533,6.922042725590207,12.647907387092948
moong(green gram),1997,Summer     ,West Bengal,9959.0,303,1852.9,947798.03,3087.29,0.046,Very High,0.044973365642731154,8.035372818652316,13.761897765092439
niger seed,1997,Rabi       ,West Bengal,50808100.0,38657300,1852.9,4835406877.0,15750511.0,0.698888889,Very High,0.5299744426701538,16.572383430644052,22.299231114948057
niger seed,1997,Whole Year ,West Bengal,6512.0,3522,1852.9,619747.04,2018.72,0.40375,Very High,0.33914722707051587,7.610714166926075,13.337068287326886
other kharif pulses,1997,Kharif     ,West Bengal,1279.0,725,1852.9,121722.43,396.49,0.585,Very High,0.46058440732924394,5.985169776545233,11.709506783042071
potato,1997,Whole Year ,West Bengal,284015.0,5581553,1852.9,27029707.55,88044.65,18.23722222,Very High,2.956847059554574,11.385610708956076,17.11244713573057
ragi,1997,Autumn     ,West Bengal,12607.0,15330,1852.9,1199808.19,3908.17,0.986,Very High,0.6861225656229808,8.271080354230794,13.99767309378173
rapeseed &mustard,1997,Whole Year ,West Bengal,327123.0,250950,1852.9,31132295.91,101408.13,0.718333333,Very High,0.5413548286068272,11.526918405533644,17.25375632414815
rice,1997,Autumn     ,West Bengal,423121.0,751970,1852.9,40268425.57,131167.51,1.837222222,Very High,1.042825482685064,11.784238111439954,17.5110782600504
rice,1997,Summer     ,West Bengal,1206829.0,3569520,1852.9,114853915.9,374116.99,2.843888889,Very High,1.3464845856434609,12.832326507926336,18.559171591001945
rice,1997,Winter     ,West Bengal,4270328.0,8915100,1852.9,406407115.8,1323801.68,1.985555556,Very High,1.0937858454400453,14.096018971139907,19.82286596588624
safflower,1997,Whole Year ,West Bengal,10800.0,3000,1852.9,1027836.0,3348.0,0.2975,Very High,0.26043933605790665,8.116417072794205,13.842967152113948
sannhamp,1997,Whole Year ,West Bengal,2015.0,9073,1852.9,191767.55,624.65,4.598571429,Very High,1.722511463232777,6.4387911093110635,12.164044455098026
sesamum,1997,Whole Year ,West Bengal,127913.0,88943,1852.9,12173480.21,39653.03,0.649444444,Very High,0.5004385306100527,10.587947861242329,16.31477047253951
small millets,1997,Whole Year ,West Bengal,5046.0,3222,1852.9,480227.82,1564.26,0.626666667,Very High,0.4865329314018641,7.355807223360801,13.082017977628087
soyabean,1997,Kharif     ,West Bengal,1555.0,1172,1852.9,147989.35,482.05,1.196666667,Very High,0.7869410599980512,6.180120167963518,11.90490234791776
sugarcane,1997,Whole Year ,West Bengal,25797.0,1818700,1852.9,2455100.49,7997.07,67.83625,Very High,4.231730495716628,8.98695554155651,14.713678658478479
sunflower,1997,Whole Year ,West Bengal,278.0,1,1852.9,26457.26,86.18,0.0,Very High,0.0,4.467974946810247,10.183323675869499
turmeric,1997,Whole Year ,West Bengal,12481.0,23556,1852.9,1187816.77,3869.11,1.661111111,Very High,0.9787437464789512,8.26103820939249,13.98762837488304
urad,1997,Kharif     ,West Bengal,69271.0,44480,1852.9,6592521.07,21474.01,1.825,Very High,1.0385083645984043,9.974645212510088,15.701446544947624
urad,1997,Rabi       ,West Bengal,16694.0,10553,1852.9,1588767.98,5175.14,0.628333333,Very High,0.4875569966219281,8.551814883728396,14.278470047913261
wheat,1997,Rabi       ,West Bengal,367374.0,810480,1852.9,34962983.58,113885.94,1.886666667,Very High,1.0601024340217076,11.642961480876888,17.369800476389152
arecanut,1998,Kharif     ,Puducherry,66.0,23,1434.5875,6520.8,19.14,0.35,High,0.3001045924503381,3.0027078872904163,8.782905690439021
bajra,1998,Kharif     ,Puducherry,149.0,324,1434.5875,14721.2,43.21,2.17,High,1.1537315878891892,3.788951007838152,9.597111837637094
black pepper,1998,Kharif     ,Puducherry,12.0,7,1434.5875,1185.6,3.48,0.58,High,0.4574248470388754,1.4996230464268938,7.078847353824543
coriander,1998,Kharif     ,Puducherry,2.0,1,1434.5875,197.6,0.58,0.5,High,0.4054651081081644,0.4574248470388754,5.291292751611072
cotton(lint),1998,Summer     ,Puducherry,453.0,372,1434.5875,44756.4,131.37,0.84,High,0.6097655716208943,4.885601031725679,10.709012073160517
dry chillies,1998,Kharif     ,Puducherry,8.0,23,1434.5875,790.4,2.32,2.75,High,1.3217558399823195,1.199964782928397,6.673803528951324
groundnut,1998,Rabi       ,Puducherry,1046.0,2062,1434.5875,103344.8,303.34,1.54,High,0.9321640810304452,5.718145497491968,11.545835925677467
onion,1998,Kharif     ,Puducherry,26.0,429,1434.5875,2568.8,7.54,16.5,High,2.8622008809294686,2.1447610078004784,7.851583353849381
ragi,1998,Kharif     ,Puducherry,112.0,366,1434.5875,11065.6,32.48,3.27,High,1.451613827240533,3.5109482456212744,9.31168684212194
rice,1998,Kharif     ,Puducherry,4945.0,11518,1434.5875,488566.0,1434.05,2.46,High,1.2412685890696329,7.268954970792286,13.099231895614908
rice,1998,Rabi       ,Puducherry,13961.0,30220,1434.5875,1379346.8,4048.69,2.555,High,1.2683550632552043,8.306395613961127,14.137121336723046
rice,1998,Summer     ,Puducherry,5716.0,14863,1434.5875,564740.8,1657.64,2.55,High,1.2669476034873244,7.413753268451249,13.244123914525856
sesamum,1998,Kharif     ,Puducherry,147.0,120,1434.5875,14523.6,42.63,0.806666667,High,0.591483526967947,3.775744987135518,9.58359904261458
small millets,1998,Kharif     ,Puducherry,4.0,3,1434.5875,395.2,1.16,0.75,High,0.5596157879354227,0.7701082216960736,5.981919134264451
sugarcane,1998,Kharif     ,Puducherry,2710.0,232369,1434.5875,267748.0,785.9,82.595,High,4.42598370968961,6.668101175540937,12.497805253475757
tapioca,1998,Kharif     ,Puducherry,649.0,19110,1434.5875,64121.2,188.21,20.0,High,3.044522437723423,5.242857509343669,11.06854591680239
arecanut,1998,Whole Year ,Assam,74457.0,55355,2354.4,7356351.6,21592.53,0.784347826,Very High,0.5790529848846315,9.980149011765041,15.811074797217165
arhar/tur,1998,Kharif     ,Assam,7657.0,5389,2354.4,756511.6,2220.53,0.709130435,Very High,0.5359847236318133,7.705951426673706,13.536474467722869
banana,1998,Whole Year ,Assam,41885.0,581884,2354.4,4138238.0,12146.65,13.78826087,Very High,2.6938336815733757,9.404891014423617,15.235780892990443
castor seed,1998,Kharif     ,Assam,1728.0,708,2354.4,170726.4,501.12,0.411428571,Very High,0.34460236240081943,6.218839134950008,12.047823411425606
coconut,1998,Whole Year ,Assam,20166.0,149866000,2354.4,1992400.8,5848.14,6045.886957,Very High,8.707298866035305,8.674049920872077,14.504851403613904
cotton(lint),1998,Kharif     ,Assam,1652.0,751,2354.4,163217.6,479.08,0.399130435,Very High,0.3358509257904635,6.173952756681257,12.002845685606225
dry chillies,1998,Whole Year ,Assam,14724.0,9690,2354.4,1454731.2,4269.96,0.636956522,Very High,0.4928387384761154,8.359593905309435,14.190332386664714
gram,1998,Rabi       ,Assam,3002.0,1503,2354.4,296597.6,870.58,0.460454545,Very High,0.37874771945821567,6.77030765650155,12.600134988512995
jute,1998,Kharif     ,Assam,78702.0,687173,2354.4,7775757.6,22823.58,9.040869565,Very High,2.3066637205729092,10.035593304417638,15.866521580401846
linseed,1998,Rabi       ,Assam,10222.0,5212,2354.4,1009933.6,2964.38,0.480909091,Very High,0.39265614987697056,7.994760465108494,13.825396134245663
maize,1998,Kharif     ,Assam,19810.0,13965,2354.4,1957228.0,5744.9,0.608695652,Very High,0.47542369660696665,8.656241835976726,14.487040255372966
mesta,1998,Kharif     ,Assam,5260.0,25623,2354.4,519688.0,1525.4,4.9105,Very High,1.7767304302082945,7.330667300694022,13.160985834715188
niger seed,1998,Kharif     ,Assam,8753.0,4478,2354.4,864796.4,2538.37,0.520555556,Very High,0.4190757654487139,7.839671297751621,13.67025053882713
onion,1998,Whole Year ,Assam,8083.0,18341,2354.4,798600.4,2344.07,2.340434783,Very High,1.2061009730675356,7.760070531181124,13.59061722667759
other  rabi pulses,1998,Rabi       ,Assam,116141.0,62330,2354.4,11474730.8,33680.89,0.50826087,Very High,0.41095724534077616,10.424715583171347,16.25565794108872
potato,1998,Whole Year ,Assam,76958.0,611077,2354.4,7603450.4,22317.82,7.230434783,Very High,2.107838842333671,10.013185547714205,15.84411283374897
rapeseed &mustard,1998,Rabi       ,Assam,288829.0,135631,2354.4,28536305.2,83760.41,0.473478261,Very High,0.38762576977833196,11.335727679213619,17.166687736268873
rice,1998,Autumn     ,Assam,594979.0,520605,2354.4,58783925.2,172543.91,1.055652174,Very High,0.7205931572109943,12.058412829395024,17.889379011552542
rice,1998,Summer     ,Assam,223913.0,446114,2354.4,22122604.4,64934.77,1.685217391,Very High,0.987761689674029,11.081153906485742,16.912110512492447
rice,1998,Winter     ,Assam,1635230.0,2288114,2354.4,161560724.0,474216.7,1.395652174,Very High,0.8736555002660168,13.069421777939619,18.900391636146324
sesamum,1998,Kharif     ,Assam,15940.0,8210,2354.4,1574872.0,4622.6,0.485217391,Very High,0.3955611527863014,8.438928901420113,14.269685192070066
small millets,1998,Kharif     ,Assam,10547.0,5450,2354.4,1042043.6,3058.63,0.521363636,Very High,0.4196070616258994,8.026049272602934,13.85669530268272
sugarcane,1998,Whole Year ,Assam,30571.0,1223578,2354.4,3020414.8,8865.59,39.89304348,Very High,3.7109599625189116,9.090045559447757,14.920905061992945
sweet potato,1998,Whole Year ,Assam,9433.0,32437,2354.4,931980.4,2735.57,3.435652174,Very High,1.4896746565852346,7.9144605903773995,13.745068136387038
tapioca,1998,Whole Year ,Assam,2798.0,13261,2354.4,276442.4,811.42,4.445217391,Very High,1.6947376804731626,6.700017447817776,12.529761377362803
tobacco,1998,Whole Year ,Assam,1465.0,732,2354.4,144742.0,424.85,0.569545455,Very High,0.45078605833318836,6.05408717158709,11.882715035025827
turmeric,1998,Whole Year ,Assam,10729.0,7416,2354.4,1060025.2,3111.41,0.666956522,Very High,0.5109995218448433,8.043152624692247,13.873804182763923
wheat,1998,Rabi       ,Assam,89591.0,90509,2354.4,8851590.8,25981.39,0.999545455,Very High,0.692919882229637,10.165174279834833,15.99610786521723
arecanut,1998,Whole Year ,Goa,1500.0,1820,2964.9,148200.0,435.0,1.21,Very High,0.7929925155296614,6.077642243349034,11.906324739459684
banana,1998,Whole Year ,Goa,1900.0,14400,2964.9,187720.0,551.0,7.58,Very High,2.149433913499871,6.313548046277095,12.142712096977055
black pepper,1998,Whole Year ,Goa,250.0,70,2964.9,24700.0,72.5,0.28,Very High,0.2468600779315258,4.297285406218791,10.114599007626499
cashewnut,1998,Whole Year ,Goa,52875.0,15000,2964.9,5224050.0,15333.75,0.28,Very High,0.2468600779315258,9.637876773839656,15.468783712524747
coconut,1998,Whole Year ,Goa,24858.0,121000000,2964.9,2455970.4,7208.82,4867.65,Very High,8.490571970255367,8.88319926464142,14.714032923230228
